ls -1 /Pictures/Screenshots/'Screenshot from 2025-01-30 19-09-58.png'| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;statx;statx;write;write;write;write;statx;statx;write;write;write;write;statx;statx;write;write;write;write;close;close
ls * /Documents/Strong-Password-Generator/Images| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;statx;statx;write;write;write;write;close;close
ls -s /Documents/circuitos/trabalho_semaforos.md| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;close;close
ls * /Documents/Computer-Science-Freshmen-at-UFPR/Images| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;statx;statx;write;write;write;write;close;close
ls -lh /snap/snapd-desktop-integration/253| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;openat;openat;openat;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;close;close
ls -l /Downloads/firefox/defaults| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;openat;openat;openat;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;close;close
ls .. /Documents/Strong-Password-Generator/fake| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;openat;newfstatat;newfstatat;close;write;close;close
ls -1 /Downloads/strace_r.txt| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;close;close
ls / /Downloads/outfile.tga| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;openat;newfstatat;newfstatat;close;write;close;close
ls -R -l /snap/snapd-desktop-integration/253| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;openat;openat;openat;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;close;close
ls .. /Videos| execve;brk;mmap;access;openat;newfstatat;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;mmap;close;openat;read;newfstatat;mmap;mmap;mmap;mmap;close;mmap;rseq;mprotect;mprotect;mprotect;mprotect;mprotect;munmap;statfs;statfs;getrandom;brk;brk;openat;newfstatat;read;read;close;access;openat;openat;newfstatat;read;read;close;openat;openat;newfstatat;mmap;close;openat;newfstatat;mmap;close;futex;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;close;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;openat;openat;newfstatat;mmap;close;ioctl;statx;statx;statx;openat;openat;openat;write;write;openat;openat;openat;write;write;openat;newfstatat;newfstatat;close;write;close;close
